S,D,SD,rho_avg_biased_mean,rho_avg_biased_std,rho_avg_biased_mcse,rho_irt_biased_mean,rho_irt_biased_std,rho_irt_biased_mcse,delta_rho_mean,rho_avg_mcar_mean,rho_avg_mcar_std,rho_avg_mcar_mcse,top_misrank_rate_biased,top_misrank_rate_mcar,n_seeds,n_irt_converged
0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,3.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,4.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.05,0.5,0.025,0.9992,0.003,0.0008,1.0,0.0,0.0,0.0008,1.0,0.0,0.0,0.0,0.0,15,15
0.05,1.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.05,1.5,0.075,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.05,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.05,2.5,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15,15
0.05,3.0,0.15,0.9992,0.003,0.0008,1.0,0.0,0.0,0.0008,0.9984,0.0041,0.0011,0.0,0.0,15,15
0.05,3.5,0.175,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9968,0.0054,0.0014,0.0,0.0,15,15
0.05,4.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9984,0.0041,0.0011,0.0,0.0,15,15
